Game ID, Rental Date, Return Date, Customer ID
15,01/01/2020,20/01/2020,1001
2,05/01/2020,20/01/2020,1002
3,10/01/2020,25/01/2020,1003
17,15/01/2020,05/02/2020,1004
21,20/01/2020,10/02/2020,1005
25,25/01/2020,15/02/2020,1001
30,01/02/2020,20/02/2020,1002
35,10/02/2020,01/03/2020,1003
40,15/02/2020,10/03/2020,1004
45,20/02/2020,10/03/2020,1005
50,25/02/2020,15/03/2020,1001
6,01/03/2020,20/03/2020,1002
12,07/03/2020,25/03/2020,1003
18,10/03/2020,05/04/2020,1004
24,15/03/2020,05/04/2020,1005
32,20/03/2020,10/04/2020,1001
8,01/04/2020,20/04/2020,1002
19,07/04/2020,30/04/2020,1003
26,15/04/2020,05/05/2020,1004
33,20/04/2020,15/05/2020,1005
41,01/05/2020,20/05/2020,1001
5,10/05/2020,30/05/2020,1002
14,15/05/2020,05/06/2020,1003
23,20/05/2020,10/06/2020,1004
29,25/05/2020,15/06/2020,1005
38,01/06/2020,20/06/2020,1001
7,10/06/2020,30/06/2020,1002
13,15/06/2020,05/07/2020,1003
22,20/06/2020,10/07/2020,1004
37,01/07/2020,20/07/2020,1005
44,10/07/2020,30/07/2020,1001
4,15/07/2020,05/08/2020,1002
11,20/07/2020,10/08/2020,1003
16,25/07/2020,15/08/2020,1004
39,01/08/2020,20/08/2020,1005
48,10/08/2020,30/08/2020,1001
1,15/08/2020,05/09/2020,1002
9,20/08/2020,10/09/2020,1003
28,25/08/2020,15/09/2020,1004
34,01/09/2020,20/09/2020,1005
47,10/09/2020,30/09/2020,1001
12,15/09/2020,05/10/2020,1002
17,20/09/2020,10/10/2020,1003
26,25/09/2020,15/10/2020,1004
30,01/10/2020,20/10/2020,1005
8,10/10/2020,30/10/2020,1001
20,15/10/2020,05/11/2020,1002
36,20/10/2020,10/11/2020,1003
43,01/11/2020,20/11/2020,1004
50,10/11/2020,30/11/2020,1005
19,15/11/2020,05/12/2020,1001
27,20/11/2020,10/12/2020,1002
4,01/12/2020,20/12/2020,1003
13,10/12/2020,30/12/2020,1004
22,15/12/2020,05/01/2021,1005
31,20/12/2020,10/01/2021,1001
7,01/01/2021,20/01/2021,1002
18,10/01/2021,30/01/2021,1003
25,15/01/2021,05/02/2021,1004
35,20/01/2021,10/02/2021,1005
45,01/02/2021,20/02/2021,1001
3,10/02/2021,01/03/2021,1002
12,15/02/2021,05/03/2021,1003
21,20/02/2021,10/03/2021,1004
26,01/03/2021,20/03/2021,1005
32,10/03/2021,30/03/2021,1001
41,15/03/2021,05/04/2021,1002
50,20/03/2021,10/04/2021,1003
6,01/04/2021,20/04/2021,1004
14,10/04/2021,30/04/2021,1005
22,15/04/2021,05/05/2021,1001
33,20/04/2021,10/05/2021,1002
39,01/05/2021,20/05/2021,1003
44,10/05/2021,30/05/2021,1004
48,15/05/2021,05/06/2021,1005
7,01/06/2021,20/06/2021,1001
16,10/06/2021,30/06/2021,1002
24,15/06/2021,05/07/2021,1003
32,20/06/2021,10/07/2021,1004
40,01/07/2021,20/07/2021,1005
2,10/07/2021,30/07/2021,1001
12,15/07/2021,05/08/2021,1002
23,20/07/2021,10/08/2021,1003
34,01/08/2021,20/08/2021,1004
43,10/08/2021,30/08/2021,1005
1,15/08/2021,05/09/2021,1001
8,20/08/2021,10/09/2021,1002
19,01/09/2021,20/09/2021,1003
27,10/09/2021,30/09/2021,1004
